"","Year","State","Commodity","Species","Product_Type","Unit","Value","Region","NAs","nonNAs","Gapfill","GF_Method","State_Avg","Region_Avg","Unit_Avg"
"62",2013,"ARKANSAS","FOOD FISH","CATFISH","FINGERLINGS & FRY","HEAD",14331760,"South",1,2,0,NA,15298789,10243752.6923077,3795921.74337208
"63",2013,"ARKANSAS","FOOD FISH","CATFISH","FOODSIZE","OPERATIONS",44,"South",0,10,0,NA,17,14.9759036144578,9.31397849462366
"64",2013,"ARKANSAS","FOOD FISH","CATFISH","FOODSIZE","DOLLARS",24915532,"South",6,4,0,NA,21705539,19420987.1864035,9450793.2152848
"65",2013,"ARKANSAS","FOOD FISH","CATFISH","FOODSIZE","HEAD",16265818,"South",1,2,0,NA,15298789,10243752.6923077,3795921.74337208
"66",2013,"ARKANSAS","FOOD FISH","CATFISH","FOODSIZE","LB",26998986,"South",1,1,0,NA,26998986,8658691.9,3545924.67272331
"67",2013,"ARKANSAS","FOOD FISH","CATFISH","STOCKERS","OPERATIONS",2,"South",0,10,0,NA,17,14.9759036144578,9.31397849462366
"68",2013,"ARKANSAS","FOOD FISH","CATFISH","STOCKERS","DOLLARS",19420987.1864035,"South",6,4,1,"Region Average",21705539,19420987.1864035,9450793.2152848
"69",2013,"ARKANSAS","FOOD FISH","CATFISH","STOCKERS","HEAD",10243752.6923077,"South",1,2,1,"Region Average",15298789,10243752.6923077,3795921.74337208
"70",2013,"ARKANSAS","FOOD FISH","CATFISH","STOCKERS","LB",8658691.9,"South",1,1,1,"Region Average",26998986,8658691.9,3545924.67272331
"71",2013,"ARKANSAS","FOOD FISH","YELLOW PERCH","NONE","OPERATIONS",1,"South",0,10,0,NA,17,14.9759036144578,9.31397849462366
"72",2013,"ARKANSAS","FOOD FISH","YELLOW PERCH","NONE","DOLLARS",19420987.1864035,"South",6,4,1,"Region Average",21705539,19420987.1864035,9450793.2152848
"73",2013,"ARKANSAS","FOOD FISH","TILAPIA","NONE","OPERATIONS",3,"South",0,10,0,NA,17,14.9759036144578,9.31397849462366
"74",2013,"ARKANSAS","FOOD FISH","TILAPIA","NONE","DOLLARS",10200,"South",6,4,0,NA,21705539,19420987.1864035,9450793.2152848
"75",2013,"CALIFORNIA","FOOD FISH","FOOD FISH","NONE","OPERATIONS",71,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"76",2013,"CALIFORNIA","FOOD FISH","FOOD FISH","NONE","DOLLARS",37395153,"West",9,8,0,NA,9755192.5,9917520.23958333,9450793.2152848
"77",2013,"CALIFORNIA","FOOD FISH","HYBRID STRIPED BASS","NONE","OPERATIONS",4,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"78",2013,"CALIFORNIA","FOOD FISH","HYBRID STRIPED BASS","NONE","DOLLARS",9755192.5,"West",9,8,1,"State Average",9755192.5,9917520.23958333,9450793.2152848
"79",2013,"CALIFORNIA","FOOD FISH","CARP","NONE","OPERATIONS",14,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"80",2013,"CALIFORNIA","FOOD FISH","CARP","NONE","DOLLARS",1388729,"West",9,8,0,NA,9755192.5,9917520.23958333,9450793.2152848
"81",2013,"CALIFORNIA","FOOD FISH","CARP (EXCL GRASS)","NONE","OPERATIONS",13,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"82",2013,"CALIFORNIA","FOOD FISH","CARP (EXCL GRASS)","NONE","DOLLARS",9755192.5,"West",9,8,1,"State Average",9755192.5,9917520.23958333,9450793.2152848
"83",2013,"CALIFORNIA","FOOD FISH","GRASS CARP","NONE","OPERATIONS",1,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"84",2013,"CALIFORNIA","FOOD FISH","GRASS CARP","NONE","DOLLARS",9755192.5,"West",9,8,1,"State Average",9755192.5,9917520.23958333,9450793.2152848
"85",2013,"CALIFORNIA","FOOD FISH","CATFISH","NONE","OPERATIONS",42,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"86",2013,"CALIFORNIA","FOOD FISH","CATFISH","NONE","DOLLARS",10951225,"West",9,8,0,NA,9755192.5,9917520.23958333,9450793.2152848
"87",2013,"CALIFORNIA","FOOD FISH","CATFISH","BROODSTOCK","OPERATIONS",5,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"88",2013,"CALIFORNIA","FOOD FISH","CATFISH","BROODSTOCK","DOLLARS",9755192.5,"West",9,8,1,"State Average",9755192.5,9917520.23958333,9450793.2152848
"89",2013,"CALIFORNIA","FOOD FISH","CATFISH","BROODSTOCK","HEAD",2005969.10526316,"West",3,4,1,"Region Average",1126388.75,2005969.10526316,3795921.74337208
"90",2013,"CALIFORNIA","FOOD FISH","CATFISH","BROODSTOCK","LB",3071894,"West",2,3,1,"Region Average",1914712,3071894,3545924.67272331
"91",2013,"CALIFORNIA","FOOD FISH","CATFISH","FINGERLINGS & FRY","OPERATIONS",8,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"92",2013,"CALIFORNIA","FOOD FISH","CATFISH","FINGERLINGS & FRY","DOLLARS",92099,"West",9,8,0,NA,9755192.5,9917520.23958333,9450793.2152848
"93",2013,"CALIFORNIA","FOOD FISH","CATFISH","FINGERLINGS & FRY","HEAD",586000,"West",3,4,0,NA,1126388.75,2005969.10526316,3795921.74337208
"94",2013,"CALIFORNIA","FOOD FISH","CATFISH","FOODSIZE","OPERATIONS",42,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"95",2013,"CALIFORNIA","FOOD FISH","CATFISH","FOODSIZE","DOLLARS",10781526,"West",9,8,0,NA,9755192.5,9917520.23958333,9450793.2152848
"96",2013,"CALIFORNIA","FOOD FISH","CATFISH","FOODSIZE","HEAD",1980355,"West",3,4,0,NA,1126388.75,2005969.10526316,3795921.74337208
"97",2013,"CALIFORNIA","FOOD FISH","CATFISH","FOODSIZE","LB",3581966,"West",2,3,0,NA,1914712,3071894,3545924.67272331
"98",2013,"CALIFORNIA","FOOD FISH","CATFISH","STOCKERS","OPERATIONS",3,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"99",2013,"CALIFORNIA","FOOD FISH","CATFISH","STOCKERS","DOLLARS",9755192.5,"West",9,8,1,"State Average",9755192.5,9917520.23958333,9450793.2152848
"100",2013,"CALIFORNIA","FOOD FISH","CATFISH","STOCKERS","HEAD",2005969.10526316,"West",3,4,1,"Region Average",1126388.75,2005969.10526316,3795921.74337208
"101",2013,"CALIFORNIA","FOOD FISH","CATFISH","STOCKERS","LB",3071894,"West",2,3,1,"Region Average",1914712,3071894,3545924.67272331
"102",2013,"CALIFORNIA","FOOD FISH","OTHER SPECIES","NONE","OPERATIONS",1,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"103",2013,"CALIFORNIA","FOOD FISH","OTHER SPECIES","NONE","DOLLARS",9755192.5,"West",9,8,1,"State Average",9755192.5,9917520.23958333,9450793.2152848
"104",2013,"CALIFORNIA","FOOD FISH","STURGEON","NONE","OPERATIONS",12,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"105",2013,"CALIFORNIA","FOOD FISH","STURGEON","NONE","DOLLARS",9755192.5,"West",9,8,1,"State Average",9755192.5,9917520.23958333,9450793.2152848
"106",2013,"CALIFORNIA","FOOD FISH","TILAPIA","NONE","OPERATIONS",9,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"107",2013,"CALIFORNIA","FOOD FISH","TILAPIA","NONE","DOLLARS",4755460,"West",9,8,0,NA,9755192.5,9917520.23958333,9450793.2152848
"108",2013,"CALIFORNIA","FOOD FISH","TROUT","NONE","OPERATIONS",17,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"109",2013,"CALIFORNIA","FOOD FISH","TROUT","NONE","DOLLARS",6998973,"West",9,8,0,NA,9755192.5,9917520.23958333,9450793.2152848
"110",2013,"CALIFORNIA","FOOD FISH","TROUT","FINGERLINGS & FRY","OPERATIONS",3,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"111",2013,"CALIFORNIA","FOOD FISH","TROUT","FINGERLINGS & FRY","DOLLARS",9755192.5,"West",9,8,1,"State Average",9755192.5,9917520.23958333,9450793.2152848
"112",2013,"CALIFORNIA","FOOD FISH","TROUT","FINGERLINGS & FRY","HEAD",2005969.10526316,"West",3,4,1,"Region Average",1126388.75,2005969.10526316,3795921.74337208
"113",2013,"CALIFORNIA","FOOD FISH","TROUT","FOODSIZE","OPERATIONS",12,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"114",2013,"CALIFORNIA","FOOD FISH","TROUT","FOODSIZE","DOLLARS",5678375,"West",9,8,0,NA,9755192.5,9917520.23958333,9450793.2152848
"115",2013,"CALIFORNIA","FOOD FISH","TROUT","FOODSIZE","HEAD",1490500,"West",3,4,0,NA,1126388.75,2005969.10526316,3795921.74337208
"116",2013,"CALIFORNIA","FOOD FISH","TROUT","FOODSIZE","LB",1923142,"West",2,3,0,NA,1914712,3071894,3545924.67272331
"117",2013,"CALIFORNIA","FOOD FISH","TROUT","STOCKERS","OPERATIONS",11,"West",0,17,0,NA,15.7647058823529,7.1010101010101,9.31397849462366
"118",2013,"CALIFORNIA","FOOD FISH","TROUT","STOCKERS","DOLLARS",9755192.5,"West",9,8,1,"State Average",9755192.5,9917520.23958333,9450793.2152848
"119",2013,"CALIFORNIA","FOOD FISH","TROUT","STOCKERS","HEAD",448700,"West",3,4,0,NA,1126388.75,2005969.10526316,3795921.74337208
"120",2013,"CALIFORNIA","FOOD FISH","TROUT","STOCKERS","LB",239028,"West",2,3,0,NA,1914712,3071894,3545924.67272331
"121",2013,"COLORADO","FOOD FISH","FOOD FISH","NONE","OPERATIONS",13,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"122",2013,"COLORADO","FOOD FISH","FOOD FISH","NONE","DOLLARS",3773673,"West",8,5,0,NA,1078983.6,9917520.23958333,9450793.2152848
"123",2013,"COLORADO","FOOD FISH","HYBRID STRIPED BASS","NONE","OPERATIONS",3,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"124",2013,"COLORADO","FOOD FISH","HYBRID STRIPED BASS","NONE","DOLLARS",9917520.23958333,"West",8,5,1,"Region Average",1078983.6,9917520.23958333,9450793.2152848
"125",2013,"COLORADO","FOOD FISH","CARP","NONE","OPERATIONS",3,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"126",2013,"COLORADO","FOOD FISH","CARP","NONE","DOLLARS",32757,"West",8,5,0,NA,1078983.6,9917520.23958333,9450793.2152848
"127",2013,"COLORADO","FOOD FISH","GRASS CARP","NONE","OPERATIONS",3,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"128",2013,"COLORADO","FOOD FISH","GRASS CARP","NONE","DOLLARS",32757,"West",8,5,0,NA,1078983.6,9917520.23958333,9450793.2152848
"129",2013,"COLORADO","FOOD FISH","CATFISH","NONE","OPERATIONS",3,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"130",2013,"COLORADO","FOOD FISH","CATFISH","NONE","DOLLARS",9917520.23958333,"West",8,5,1,"Region Average",1078983.6,9917520.23958333,9450793.2152848
"131",2013,"COLORADO","FOOD FISH","CATFISH","FOODSIZE","OPERATIONS",3,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"132",2013,"COLORADO","FOOD FISH","CATFISH","FOODSIZE","DOLLARS",9917520.23958333,"West",8,5,1,"Region Average",1078983.6,9917520.23958333,9450793.2152848
"133",2013,"COLORADO","FOOD FISH","CATFISH","FOODSIZE","HEAD",2005969.10526316,"West",2,3,1,"Region Average",163207.666666667,2005969.10526316,3795921.74337208
"134",2013,"COLORADO","FOOD FISH","CATFISH","FOODSIZE","LB",3071894,"West",2,2,1,"Region Average",266653.5,3071894,3545924.67272331
"135",2013,"COLORADO","FOOD FISH","CATFISH","STOCKERS","OPERATIONS",2,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"136",2013,"COLORADO","FOOD FISH","CATFISH","STOCKERS","DOLLARS",9917520.23958333,"West",8,5,1,"Region Average",1078983.6,9917520.23958333,9450793.2152848
"137",2013,"COLORADO","FOOD FISH","CATFISH","STOCKERS","HEAD",2005969.10526316,"West",2,3,1,"Region Average",163207.666666667,2005969.10526316,3795921.74337208
"138",2013,"COLORADO","FOOD FISH","CATFISH","STOCKERS","LB",3071894,"West",2,2,1,"Region Average",266653.5,3071894,3545924.67272331
"139",2013,"COLORADO","FOOD FISH","YELLOW PERCH","NONE","OPERATIONS",1,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"140",2013,"COLORADO","FOOD FISH","YELLOW PERCH","NONE","DOLLARS",9917520.23958333,"West",8,5,1,"Region Average",1078983.6,9917520.23958333,9450793.2152848
"141",2013,"COLORADO","FOOD FISH","TILAPIA","NONE","OPERATIONS",1,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"142",2013,"COLORADO","FOOD FISH","TILAPIA","NONE","DOLLARS",9917520.23958333,"West",8,5,1,"Region Average",1078983.6,9917520.23958333,9450793.2152848
"143",2013,"COLORADO","FOOD FISH","TROUT","NONE","OPERATIONS",10,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"144",2013,"COLORADO","FOOD FISH","TROUT","NONE","DOLLARS",9917520.23958333,"West",8,5,1,"Region Average",1078983.6,9917520.23958333,9450793.2152848
"145",2013,"COLORADO","FOOD FISH","TROUT","FINGERLINGS & FRY","OPERATIONS",3,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"146",2013,"COLORADO","FOOD FISH","TROUT","FINGERLINGS & FRY","DOLLARS",24462,"West",8,5,0,NA,1078983.6,9917520.23958333,9450793.2152848
"147",2013,"COLORADO","FOOD FISH","TROUT","FINGERLINGS & FRY","HEAD",54186,"West",2,3,0,NA,163207.666666667,2005969.10526316,3795921.74337208
"148",2013,"COLORADO","FOOD FISH","TROUT","FOODSIZE","OPERATIONS",10,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"149",2013,"COLORADO","FOOD FISH","TROUT","FOODSIZE","DOLLARS",1531269,"West",8,5,0,NA,1078983.6,9917520.23958333,9450793.2152848
"150",2013,"COLORADO","FOOD FISH","TROUT","FOODSIZE","HEAD",245745,"West",2,3,0,NA,163207.666666667,2005969.10526316,3795921.74337208
"151",2013,"COLORADO","FOOD FISH","TROUT","FOODSIZE","LB",441267,"West",2,2,0,NA,266653.5,3071894,3545924.67272331
"152",2013,"COLORADO","FOOD FISH","TROUT","STOCKERS","OPERATIONS",6,"West",0,13,0,NA,4.69230769230769,7.1010101010101,9.31397849462366
"153",2013,"COLORADO","FOOD FISH","TROUT","STOCKERS","DOLLARS",9917520.23958333,"West",8,5,1,"Region Average",1078983.6,9917520.23958333,9450793.2152848
"154",2013,"COLORADO","FOOD FISH","TROUT","STOCKERS","HEAD",189692,"West",2,3,0,NA,163207.666666667,2005969.10526316,3795921.74337208
"155",2013,"COLORADO","FOOD FISH","TROUT","STOCKERS","LB",92040,"West",2,2,0,NA,266653.5,3071894,3545924.67272331
"156",2013,"CONNECTICUT","FOOD FISH","FOOD FISH","NONE","OPERATIONS",3,"Northeast",0,8,0,NA,2,5.77464788732394,9.31397849462366
"157",2013,"CONNECTICUT","FOOD FISH","FOOD FISH","NONE","DOLLARS",378270,"Northeast",6,2,0,NA,223635,1132140.75958188,9450793.2152848
"158",2013,"CONNECTICUT","FOOD FISH","CARP","NONE","OPERATIONS",1,"Northeast",0,8,0,NA,2,5.77464788732394,9.31397849462366
"159",2013,"CONNECTICUT","FOOD FISH","CARP","NONE","DOLLARS",1132140.75958188,"Northeast",6,2,1,"Region Average",223635,1132140.75958188,9450793.2152848
"160",2013,"CONNECTICUT","FOOD FISH","GRASS CARP","NONE","OPERATIONS",1,"Northeast",0,8,0,NA,2,5.77464788732394,9.31397849462366
"161",2013,"CONNECTICUT","FOOD FISH","GRASS CARP","NONE","DOLLARS",1132140.75958188,"Northeast",6,2,1,"Region Average",223635,1132140.75958188,9450793.2152848
"162",2013,"CONNECTICUT","FOOD FISH","TROUT","NONE","OPERATIONS",3,"Northeast",0,8,0,NA,2,5.77464788732394,9.31397849462366
"163",2013,"CONNECTICUT","FOOD FISH","TROUT","NONE","DOLLARS",1132140.75958188,"Northeast",6,2,1,"Region Average",223635,1132140.75958188,9450793.2152848
"164",2013,"CONNECTICUT","FOOD FISH","TROUT","BROODSTOCK","OPERATIONS",1,"Northeast",0,8,0,NA,2,5.77464788732394,9.31397849462366
"165",2013,"CONNECTICUT","FOOD FISH","TROUT","BROODSTOCK","DOLLARS",1132140.75958188,"Northeast",6,2,1,"Region Average",223635,1132140.75958188,9450793.2152848
"166",2013,"CONNECTICUT","FOOD FISH","TROUT","BROODSTOCK","HEAD",128523.3125,"Northeast",2,2,1,"Region Average",52611,128523.3125,3795921.74337208
"167",2013,"CONNECTICUT","FOOD FISH","TROUT","BROODSTOCK","LB",148881,"Northeast",2,1,1,"Region Average",14065,148881,3545924.67272331
"168",2013,"CONNECTICUT","FOOD FISH","TROUT","FINGERLINGS & FRY","OPERATIONS",1,"Northeast",0,8,0,NA,2,5.77464788732394,9.31397849462366
"169",2013,"CONNECTICUT","FOOD FISH","TROUT","FINGERLINGS & FRY","DOLLARS",1132140.75958188,"Northeast",6,2,1,"Region Average",223635,1132140.75958188,9450793.2152848
"170",2013,"CONNECTICUT","FOOD FISH","TROUT","FINGERLINGS & FRY","HEAD",128523.3125,"Northeast",2,2,1,"Region Average",52611,128523.3125,3795921.74337208
"171",2013,"CONNECTICUT","FOOD FISH","TROUT","FOODSIZE","OPERATIONS",3,"Northeast",0,8,0,NA,2,5.77464788732394,9.31397849462366
