"Year","State","Species","Product_Type","Unit","Value"
2013,"US","OTHER SPECIES","ALL PRODUCTS","DOLLARS",4342857
2013,"US","OTHER SPECIES","FOODSIZE","OPERATIONS",4
2013,"US","OTHER SPECIES","FOODSIZE","DOLLARS",NA
2013,"US","OTHER SPECIES","FOODSIZE","HEAD",NA
2013,"US","OTHER SPECIES","FOODSIZE","HEAD_PER_LB",NA
2013,"US","OTHER SPECIES","FOODSIZE","LB",NA
2013,"US","OTHER SPECIES","LARVAE & SEED","OPERATIONS",6
2013,"US","OTHER SPECIES","LARVAE & SEED","DOLLARS",563900
2013,"US","OTHER SPECIES","OTHER SIZES","OPERATIONS",4
2013,"US","OTHER SPECIES","OTHER SIZES","DOLLARS",NA
2013,"US","OYSTERS","ALL PRODUCTS","OPERATIONS",483
2013,"US","OYSTERS","ALL PRODUCTS","DOLLARS",180149850
2013,"US","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",41
2013,"US","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",25110413
2013,"US","OTHER OYSTERS","FOODSIZE","OPERATIONS",36
2013,"US","OTHER OYSTERS","FOODSIZE","DOLLARS",NA
2013,"US","OTHER OYSTERS","FOODSIZE","HEAD",NA
2013,"US","OTHER OYSTERS","FOODSIZE","HEAD_PER_LB",NA
2013,"US","OTHER OYSTERS","FOODSIZE","LB",NA
2013,"US","OTHER OYSTERS","LARVAE & SEED","OPERATIONS",2
2013,"US","OTHER OYSTERS","LARVAE & SEED","DOLLARS",NA
2013,"US","OTHER OYSTERS","OTHER SIZES","OPERATIONS",3
2013,"US","OTHER OYSTERS","OTHER SIZES","DOLLARS",NA
2013,"US","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",315
2013,"US","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",68297841
2013,"US","EASTERN OYSTERS","BROODSTOCK","OPERATIONS",3
2013,"US","EASTERN OYSTERS","BROODSTOCK","DOLLARS",125100
2013,"US","EASTERN OYSTERS","BROODSTOCK","HEAD",482200
2013,"US","EASTERN OYSTERS","FOODSIZE","OPERATIONS",306
2013,"US","EASTERN OYSTERS","FOODSIZE","DOLLARS",65383225
2013,"US","EASTERN OYSTERS","FOODSIZE","HEAD",305752216
2013,"US","EASTERN OYSTERS","FOODSIZE","HEAD_PER_LB",7
2013,"US","EASTERN OYSTERS","FOODSIZE","LB",43433740
2013,"US","EASTERN OYSTERS","LARVAE & SEED","OPERATIONS",30
2013,"US","EASTERN OYSTERS","LARVAE & SEED","DOLLARS",2789516
2013,"US","PACIFIC OYSTERS","ALL PRODUCTS","OPERATIONS",145
2013,"US","PACIFIC OYSTERS","ALL PRODUCTS","DOLLARS",86741596
2013,"US","PACIFIC OYSTERS","FOODSIZE","OPERATIONS",140
2013,"US","PACIFIC OYSTERS","FOODSIZE","DOLLARS",81721196
2013,"US","PACIFIC OYSTERS","FOODSIZE","HEAD",213406271
2013,"US","PACIFIC OYSTERS","FOODSIZE","HEAD_PER_LB",4
2013,"US","PACIFIC OYSTERS","FOODSIZE","LB",51547153
2013,"US","PACIFIC OYSTERS","LARVAE & SEED","OPERATIONS",16
2013,"US","PACIFIC OYSTERS","LARVAE & SEED","DOLLARS",5020400
2013,"ALASKA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",22
2013,"ALASKA","MOLLUSKS","ALL PRODUCTS","DOLLARS",NA
2013,"ALASKA","CLAMS","ALL PRODUCTS","OPERATIONS",1
2013,"ALASKA","CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"ALASKA","GEODUCK CLAMS","ALL PRODUCTS","OPERATIONS",1
2013,"ALASKA","GEODUCK CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"ALASKA","MUSSELS","ALL PRODUCTS","OPERATIONS",4
2013,"ALASKA","MUSSELS","ALL PRODUCTS","DOLLARS",21850
2013,"ALASKA","OYSTERS","ALL PRODUCTS","OPERATIONS",22
2013,"ALASKA","OYSTERS","ALL PRODUCTS","DOLLARS",518773
2013,"ALASKA","PACIFIC OYSTERS","ALL PRODUCTS","OPERATIONS",22
2013,"ALASKA","PACIFIC OYSTERS","ALL PRODUCTS","DOLLARS",518773
2013,"CALIFORNIA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",27
2013,"CALIFORNIA","MOLLUSKS","ALL PRODUCTS","DOLLARS",16992302
2013,"CALIFORNIA","ABALONE","ALL PRODUCTS","OPERATIONS",9
2013,"CALIFORNIA","ABALONE","ALL PRODUCTS","DOLLARS",NA
2013,"CALIFORNIA","CLAMS","ALL PRODUCTS","OPERATIONS",4
2013,"CALIFORNIA","CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"CALIFORNIA","MANILA CLAMS","ALL PRODUCTS","OPERATIONS",4
2013,"CALIFORNIA","MANILA CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"CALIFORNIA","MUSSELS","ALL PRODUCTS","OPERATIONS",9
2013,"CALIFORNIA","MUSSELS","ALL PRODUCTS","DOLLARS",NA
2013,"CALIFORNIA","OYSTERS","ALL PRODUCTS","OPERATIONS",18
2013,"CALIFORNIA","OYSTERS","ALL PRODUCTS","DOLLARS",9877151
2013,"CALIFORNIA","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",5
2013,"CALIFORNIA","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"CALIFORNIA","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",3
2013,"CALIFORNIA","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"CALIFORNIA","PACIFIC OYSTERS","ALL PRODUCTS","OPERATIONS",18
2013,"CALIFORNIA","PACIFIC OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"CONNECTICUT","MOLLUSKS","ALL PRODUCTS","OPERATIONS",25
2013,"CONNECTICUT","MOLLUSKS","ALL PRODUCTS","DOLLARS",28297391
2013,"CONNECTICUT","CLAMS","ALL PRODUCTS","OPERATIONS",16
2013,"CONNECTICUT","CLAMS","ALL PRODUCTS","DOLLARS",18135415
2013,"CONNECTICUT","HARD CLAMS","ALL PRODUCTS","OPERATIONS",16
2013,"CONNECTICUT","HARD CLAMS","ALL PRODUCTS","DOLLARS",18135415
2013,"CONNECTICUT","OYSTERS","ALL PRODUCTS","OPERATIONS",13
2013,"CONNECTICUT","OYSTERS","ALL PRODUCTS","DOLLARS",10161976
2013,"CONNECTICUT","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",13
2013,"CONNECTICUT","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",10161976
2013,"FLORIDA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",132
2013,"FLORIDA","MOLLUSKS","ALL PRODUCTS","DOLLARS",19640914
2013,"FLORIDA","CLAMS","ALL PRODUCTS","OPERATIONS",127
2013,"FLORIDA","CLAMS","ALL PRODUCTS","DOLLARS",18729084
2013,"FLORIDA","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",10
2013,"FLORIDA","OTHER CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"FLORIDA","HARD CLAMS","ALL PRODUCTS","OPERATIONS",119
2013,"FLORIDA","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"FLORIDA","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",7
2013,"FLORIDA","OTHER SPECIES","ALL PRODUCTS","DOLLARS",NA
2013,"FLORIDA","OYSTERS","ALL PRODUCTS","OPERATIONS",4
2013,"FLORIDA","OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"FLORIDA","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",2
2013,"FLORIDA","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"FLORIDA","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",2
2013,"FLORIDA","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"GEORGIA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",4
2013,"GEORGIA","MOLLUSKS","ALL PRODUCTS","DOLLARS",NA
2013,"GEORGIA","CLAMS","ALL PRODUCTS","OPERATIONS",4
2013,"GEORGIA","CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"GEORGIA","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",1
2013,"GEORGIA","OTHER CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"GEORGIA","HARD CLAMS","ALL PRODUCTS","OPERATIONS",3
2013,"GEORGIA","HARD CLAMS","ALL PRODUCTS","DOLLARS",116000
2013,"HAWAII","MOLLUSKS","ALL PRODUCTS","OPERATIONS",3
2013,"HAWAII","MOLLUSKS","ALL PRODUCTS","DOLLARS",NA
2013,"HAWAII","ABALONE","ALL PRODUCTS","OPERATIONS",1
2013,"HAWAII","ABALONE","ALL PRODUCTS","DOLLARS",NA
2013,"HAWAII","CLAMS","ALL PRODUCTS","OPERATIONS",2
2013,"HAWAII","CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"HAWAII","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",1
2013,"HAWAII","OTHER CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"HAWAII","MANILA CLAMS","ALL PRODUCTS","OPERATIONS",1
2013,"HAWAII","MANILA CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"LOUISIANA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",39
2013,"LOUISIANA","MOLLUSKS","ALL PRODUCTS","DOLLARS",13355478
2013,"LOUISIANA","OYSTERS","ALL PRODUCTS","OPERATIONS",39
2013,"LOUISIANA","OYSTERS","ALL PRODUCTS","DOLLARS",13355478
2013,"LOUISIANA","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",21
2013,"LOUISIANA","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",9966598
2013,"LOUISIANA","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",18
2013,"LOUISIANA","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",3388880
2013,"MAINE","MOLLUSKS","ALL PRODUCTS","OPERATIONS",22
2013,"MAINE","MOLLUSKS","ALL PRODUCTS","DOLLARS",NA
2013,"MAINE","MUSSELS","ALL PRODUCTS","OPERATIONS",5
2013,"MAINE","MUSSELS","ALL PRODUCTS","DOLLARS",1837653
2013,"MAINE","OYSTERS","ALL PRODUCTS","OPERATIONS",17
2013,"MAINE","OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"MAINE","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",17
2013,"MAINE","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"MARYLAND","MOLLUSKS","ALL PRODUCTS","OPERATIONS",10
2013,"MARYLAND","MOLLUSKS","ALL PRODUCTS","DOLLARS",1737855
2013,"MARYLAND","CLAMS","ALL PRODUCTS","OPERATIONS",1
2013,"MARYLAND","CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"MARYLAND","HARD CLAMS","ALL PRODUCTS","OPERATIONS",1
2013,"MARYLAND","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"MARYLAND","OYSTERS","ALL PRODUCTS","OPERATIONS",10
2013,"MARYLAND","OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"MARYLAND","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",10
2013,"MARYLAND","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"MASSACHUSETTS","MOLLUSKS","ALL PRODUCTS","OPERATIONS",132
2013,"MASSACHUSETTS","MOLLUSKS","ALL PRODUCTS","DOLLARS",NA
2013,"MASSACHUSETTS","CLAMS","ALL PRODUCTS","OPERATIONS",34
2013,"MASSACHUSETTS","CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"MASSACHUSETTS","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",4
2013,"MASSACHUSETTS","OTHER CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"MASSACHUSETTS","HARD CLAMS","ALL PRODUCTS","OPERATIONS",33
2013,"MASSACHUSETTS","HARD CLAMS","ALL PRODUCTS","DOLLARS",1711698
2013,"MASSACHUSETTS","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",2
2013,"MASSACHUSETTS","OTHER SPECIES","ALL PRODUCTS","DOLLARS",NA
2013,"MASSACHUSETTS","OYSTERS","ALL PRODUCTS","OPERATIONS",126
2013,"MASSACHUSETTS","OYSTERS","ALL PRODUCTS","DOLLARS",10969622
2013,"MASSACHUSETTS","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",3
2013,"MASSACHUSETTS","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"MASSACHUSETTS","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",123
2013,"MASSACHUSETTS","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"NEW JERSEY","MOLLUSKS","ALL PRODUCTS","OPERATIONS",50
2013,"NEW JERSEY","MOLLUSKS","ALL PRODUCTS","DOLLARS",10302942
2013,"NEW JERSEY","CLAMS","ALL PRODUCTS","OPERATIONS",39
2013,"NEW JERSEY","CLAMS","ALL PRODUCTS","DOLLARS",2334270
2013,"NEW JERSEY","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",3
2013,"NEW JERSEY","OTHER CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"NEW JERSEY","HARD CLAMS","ALL PRODUCTS","OPERATIONS",37
2013,"NEW JERSEY","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"NEW JERSEY","OYSTERS","ALL PRODUCTS","OPERATIONS",19
2013,"NEW JERSEY","OYSTERS","ALL PRODUCTS","DOLLARS",7968672
2013,"NEW JERSEY","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",19
2013,"NEW JERSEY","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",7968672
2013,"NEW YORK","MOLLUSKS","ALL PRODUCTS","OPERATIONS",15
2013,"NEW YORK","MOLLUSKS","ALL PRODUCTS","DOLLARS",5657836
2013,"NEW YORK","CLAMS","ALL PRODUCTS","OPERATIONS",1
2013,"NEW YORK","CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"NEW YORK","HARD CLAMS","ALL PRODUCTS","OPERATIONS",1
2013,"NEW YORK","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"NEW YORK","OYSTERS","ALL PRODUCTS","OPERATIONS",14
2013,"NEW YORK","OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"NEW YORK","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",14
2013,"NEW YORK","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"NORTH CAROLINA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",22
2013,"NORTH CAROLINA","MOLLUSKS","ALL PRODUCTS","DOLLARS",336692
2013,"NORTH CAROLINA","CLAMS","ALL PRODUCTS","OPERATIONS",20
2013,"NORTH CAROLINA","CLAMS","ALL PRODUCTS","DOLLARS",265160
2013,"NORTH CAROLINA","HARD CLAMS","ALL PRODUCTS","OPERATIONS",20
2013,"NORTH CAROLINA","HARD CLAMS","ALL PRODUCTS","DOLLARS",265160
2013,"NORTH CAROLINA","OYSTERS","ALL PRODUCTS","OPERATIONS",8
2013,"NORTH CAROLINA","OYSTERS","ALL PRODUCTS","DOLLARS",71532
2013,"NORTH CAROLINA","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",8
2013,"NORTH CAROLINA","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",71532
2013,"OREGON","MOLLUSKS","ALL PRODUCTS","OPERATIONS",17
2013,"OREGON","MOLLUSKS","ALL PRODUCTS","DOLLARS",10554532
2013,"OREGON","OYSTERS","ALL PRODUCTS","OPERATIONS",17
2013,"OREGON","OYSTERS","ALL PRODUCTS","DOLLARS",10554532
2013,"OREGON","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",1
2013,"OREGON","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"OREGON","PACIFIC OYSTERS","ALL PRODUCTS","OPERATIONS",17
2013,"OREGON","PACIFIC OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"PENNSYLVANIA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",1
2013,"PENNSYLVANIA","MOLLUSKS","ALL PRODUCTS","DOLLARS",NA
2013,"PENNSYLVANIA","CLAMS","ALL PRODUCTS","OPERATIONS",1
2013,"PENNSYLVANIA","CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"PENNSYLVANIA","HARD CLAMS","ALL PRODUCTS","OPERATIONS",1
2013,"PENNSYLVANIA","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"RHODE ISLAND","MOLLUSKS","ALL PRODUCTS","OPERATIONS",21
2013,"RHODE ISLAND","MOLLUSKS","ALL PRODUCTS","DOLLARS",5733858
2013,"RHODE ISLAND","CLAMS","ALL PRODUCTS","OPERATIONS",2
2013,"RHODE ISLAND","CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"RHODE ISLAND","HARD CLAMS","ALL PRODUCTS","OPERATIONS",2
2013,"RHODE ISLAND","HARD CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"RHODE ISLAND","MUSSELS","ALL PRODUCTS","OPERATIONS",1
2013,"RHODE ISLAND","MUSSELS","ALL PRODUCTS","DOLLARS",NA
2013,"RHODE ISLAND","OYSTERS","ALL PRODUCTS","OPERATIONS",21
2013,"RHODE ISLAND","OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"RHODE ISLAND","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",21
2013,"RHODE ISLAND","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"SOUTH CAROLINA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",9
2013,"SOUTH CAROLINA","MOLLUSKS","ALL PRODUCTS","DOLLARS",2007910
2013,"SOUTH CAROLINA","CLAMS","ALL PRODUCTS","OPERATIONS",8
2013,"SOUTH CAROLINA","CLAMS","ALL PRODUCTS","DOLLARS",1822930
2013,"SOUTH CAROLINA","HARD CLAMS","ALL PRODUCTS","OPERATIONS",8
2013,"SOUTH CAROLINA","HARD CLAMS","ALL PRODUCTS","DOLLARS",1822930
2013,"SOUTH CAROLINA","OYSTERS","ALL PRODUCTS","OPERATIONS",6
2013,"SOUTH CAROLINA","OYSTERS","ALL PRODUCTS","DOLLARS",184980
2013,"SOUTH CAROLINA","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",6
2013,"SOUTH CAROLINA","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",184980
2013,"VIRGINIA","MOLLUSKS","ALL PRODUCTS","OPERATIONS",80
2013,"VIRGINIA","MOLLUSKS","ALL PRODUCTS","DOLLARS",41522197
2013,"VIRGINIA","CLAMS","ALL PRODUCTS","OPERATIONS",33
2013,"VIRGINIA","CLAMS","ALL PRODUCTS","DOLLARS",20758844
2013,"VIRGINIA","HARD CLAMS","ALL PRODUCTS","OPERATIONS",33
2013,"VIRGINIA","HARD CLAMS","ALL PRODUCTS","DOLLARS",20758844
2013,"VIRGINIA","OYSTERS","ALL PRODUCTS","OPERATIONS",60
2013,"VIRGINIA","OYSTERS","ALL PRODUCTS","DOLLARS",20763353
2013,"VIRGINIA","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",60
2013,"VIRGINIA","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",20763353
2013,"WASHINGTON","MOLLUSKS","ALL PRODUCTS","OPERATIONS",125
2013,"WASHINGTON","MOLLUSKS","ALL PRODUCTS","DOLLARS",149319676
2013,"WASHINGTON","CLAMS","ALL PRODUCTS","OPERATIONS",82
2013,"WASHINGTON","CLAMS","ALL PRODUCTS","DOLLARS",55212388
2013,"WASHINGTON","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",3
2013,"WASHINGTON","OTHER CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"WASHINGTON","GEODUCK CLAMS","ALL PRODUCTS","OPERATIONS",19
2013,"WASHINGTON","GEODUCK CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"WASHINGTON","HARD CLAMS","ALL PRODUCTS","OPERATIONS",4
2013,"WASHINGTON","HARD CLAMS","ALL PRODUCTS","DOLLARS",11430
2013,"WASHINGTON","MANILA CLAMS","ALL PRODUCTS","OPERATIONS",75
2013,"WASHINGTON","MANILA CLAMS","ALL PRODUCTS","DOLLARS",NA
2013,"WASHINGTON","MUSSELS","ALL PRODUCTS","OPERATIONS",13
2013,"WASHINGTON","MUSSELS","ALL PRODUCTS","DOLLARS",9764242
2013,"WASHINGTON","OTHER SPECIES","ALL PRODUCTS","OPERATIONS",4
2013,"WASHINGTON","OTHER SPECIES","ALL PRODUCTS","DOLLARS",3228832
2013,"WASHINGTON","OYSTERS","ALL PRODUCTS","OPERATIONS",89
2013,"WASHINGTON","OYSTERS","ALL PRODUCTS","DOLLARS",81114214
2013,"WASHINGTON","OTHER OYSTERS","ALL PRODUCTS","OPERATIONS",9
2013,"WASHINGTON","OTHER OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"WASHINGTON","EASTERN OYSTERS","ALL PRODUCTS","OPERATIONS",1
2013,"WASHINGTON","EASTERN OYSTERS","ALL PRODUCTS","DOLLARS",NA
2013,"WASHINGTON","PACIFIC OYSTERS","ALL PRODUCTS","OPERATIONS",88
2013,"WASHINGTON","PACIFIC OYSTERS","ALL PRODUCTS","DOLLARS",67349166
2005,"US","MOLLUSKS","ALL PRODUCTS","OPERATIONS",980
2005,"US","MOLLUSKS","ALL PRODUCTS","DOLLARS",203182985
2005,"US","MOLLUSKS","ALL PRODUCTS","DOLLARS_PER_OPERATION",207330
2005,"US","MOLLUSKS","ALL PRODUCTS","PCT BT SIZE GROUP",100
2005,"US","ABALONE","ALL PRODUCTS","OPERATIONS",10
2005,"US","ABALONE","ALL PRODUCTS","DOLLARS",9305194
2005,"US","ABALONE","BROODSTOCK","OPERATIONS",1
2005,"US","ABALONE","BROODSTOCK","DOLLARS",NA
2005,"US","ABALONE","BROODSTOCK","HEAD",NA
2005,"US","ABALONE","FOODSIZE","OPERATIONS",9
2005,"US","ABALONE","FOODSIZE","DOLLARS",9178522
2005,"US","ABALONE","FOODSIZE","HEAD",3299567
2005,"US","ABALONE","FOODSIZE","HEAD_PER_LB",6
2005,"US","ABALONE","FOODSIZE","LB",556774
2005,"US","ABALONE","LARVAE & SEED","OPERATIONS",2
2005,"US","ABALONE","LARVAE & SEED","DOLLARS",NA
2005,"US","ABALONE","OTHER SIZES","OPERATIONS",1
2005,"US","ABALONE","OTHER SIZES","DOLLARS",NA
2005,"US","CLAMS","ALL PRODUCTS","OPERATIONS",553
2005,"US","CLAMS","ALL PRODUCTS","DOLLARS",84874340
2005,"US","OTHER CLAMS","ALL PRODUCTS","OPERATIONS",36
